File Name,Dimensions,File Size (MB),Aspect Ratio,Breeds,T Tokens Prompt,T Tokens Completition,T Tokens Total,V Tokens Prompt,V Tokens Completition,V Tokens Total
@Chompersthecorgi1.jpg,"(1280, 1280)",0.1071395874023437,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, A mix involving a Corgi",215,22,237,791,179,970
@Chompersthecorgi10.jpg,"(2500, 1667)",0.5844554901123047,1.4997000599880024,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",182,20,202,1131,146,1277
@Chompersthecorgi11.jpg,"(259, 194)",0.0043764114379882,1.3350515463917525,Error,54,1,55,281,18,299
@Chompersthecorgi12.jpg,"(225, 225)",0.0140199661254882,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",196,20,216,281,160,441
@Chompersthecorgi13.jpg,"(1200, 800)",0.0437231063842773,1.5,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Corgi mixes",211,19,230,1131,175,1306
@Chompersthecorgi2.jpg,"(720, 720)",0.0454292297363281,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog mix",220,21,241,791,184,975
@Chompersthecorgi3.jpg,"(225, 225)",0.0070514678955078,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Corgi mix",153,19,172,281,117,398
@Chompersthecorgi4.jpg,"(800, 800)",0.0891437530517578,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Swedish Vallhund",119,19,138,791,83,874
@Chompersthecorgi5.jpg,"(400, 400)",0.0116682052612304,1.0,Error,56,1,57,281,20,301
@Chompersthecorgi6.jpg,"(1641, 1641)",0.2278919219970703,1.0,Error,59,1,60,791,23,814
@Chompersthecorgi7.jpg,"(1280, 1280)",0.1028804779052734,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",261,20,281,791,225,1016
@Chompersthecorgi9.jpg,"(500, 679)",0.0333452224731445,0.7363770250368189,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Swedish Vallhund",249,19,268,451,213,664
@KeyushTheStuntDog0.jpg,"(300, 300)",0.0152959823608398,1.0,"Siberian Husky, Alaskan Malamute, Canadian Eskimo Dog",97,16,113,281,61,342
@KeyushTheStuntDog1.jpg,"(1280, 720)",0.0760078430175781,1.7777777777777777,"Alaskan Malamute, Siberian Husky, Tamaskan Dog, Utonagan",244,18,262,1131,208,1339
@KeyushTheStuntDog10.jpg,"(640, 480)",0.0277767181396484,1.3333333333333333,"Siberian Husky, Alaskan Malamute, Alaskan Klee Kai",145,17,162,451,109,560
@KeyushTheStuntDog2.jpg,"(300, 168)",0.0073747634887695,1.7857142857142858,"Siberian Husky, Alaskan Malamute, Malamute-Husky Mix",210,19,229,281,174,455
@KeyushTheStuntDog3.jpg,"(900, 900)",0.0767059326171875,1.0,"Alaskan Malamute, Siberian Husky, Malamute-Husky mix",215,18,233,791,179,970
@KeyushTheStuntDog4.jpg,"(736, 735)",0.0782337188720703,1.0013605442176872,"Alaskan Malamute, Siberian Husky",194,10,204,791,158,949
@KeyushTheStuntDog6.jpg,"(1280, 720)",0.1194944381713867,1.7777777777777777,"Siberian Husky, Alaskan Malamute, Samoyed",223,15,238,1131,187,1318
