File Name,Dimensions,File Size (MB),Aspect Ratio,Breeds,T Tokens Prompt,T Tokens Completition,T Tokens Total,V Tokens Prompt,V Tokens Completition,V Tokens Total
@Chompersthecorgi1.jpg,"(1280, 1280)",0.1071395874023437,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",248,20,268,111,212,323
@Chompersthecorgi10.jpg,"(2500, 1667)",0.5844554901123047,1.4997000599880024,"Pembroke Welsh Corgi, Cardigan Welsh Corgi",175,14,189,111,139,250
@Chompersthecorgi11.jpg,"(259, 194)",0.0043764114379882,1.3350515463917525,Error,57,1,58,111,21,132
@Chompersthecorgi12.jpg,"(225, 225)",0.0140199661254882,1.0,Pembroke Welsh Corgi,107,7,114,111,71,182
@Chompersthecorgi13.jpg,"(1200, 800)",0.0437231063842773,1.5,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Swedish Vallhund",271,19,290,111,235,346
@Chompersthecorgi2.jpg,"(720, 720)",0.0454292297363281,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog, Mixed-breed dog",198,25,223,111,162,273
@Chompersthecorgi3.jpg,"(225, 225)",0.0070514678955078,1.0,"Pembroke Welsh Corgi, Chihuahua, Shiba Inu",135,17,152,111,99,210
@Chompersthecorgi4.jpg,"(800, 800)",0.0891437530517578,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Corgi-mix",140,20,160,111,104,215
@Chompersthecorgi5.jpg,"(400, 400)",0.0116682052612304,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi",204,14,218,111,168,279
@Chompersthecorgi6.jpg,"(1641, 1641)",0.2278919219970703,1.0,Error,71,1,72,111,35,146
@Chompersthecorgi7.jpg,"(1280, 1280)",0.1028804779052734,1.0,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Corgi mix",200,19,219,111,164,275
@Chompersthecorgi9.jpg,"(500, 679)",0.0333452224731445,0.7363770250368189,"Pembroke Welsh Corgi, Cardigan Welsh Corgi, Shetland Sheepdog",230,20,250,111,194,305
@KeyushTheStuntDog0.jpg,"(300, 300)",0.0152959823608398,1.0,"Siberian Husky, Alaskan Malamute, Malamute-Husky Mix",194,19,213,111,158,269
@KeyushTheStuntDog1.jpg,"(1280, 720)",0.0760078430175781,1.7777777777777777,"Alaskan Malamute, Siberian Husky, Canadian Eskimo Dog",191,15,206,111,155,266
@KeyushTheStuntDog10.jpg,"(640, 480)",0.0277767181396484,1.3333333333333333,Error,49,1,50,111,13,124
@KeyushTheStuntDog2.jpg,"(300, 168)",0.0073747634887695,1.7857142857142858,Error,49,1,50,111,13,124
@KeyushTheStuntDog3.jpg,"(900, 900)",0.0767059326171875,1.0,"Alaskan Malamute, Siberian Husky, Samoyed",253,14,267,111,217,328
@KeyushTheStuntDog4.jpg,"(736, 735)",0.0782337188720703,1.0013605442176872,"Alaskan Malamute, Siberian Husky, Tamaskan Dog",227,14,241,111,191,302
@KeyushTheStuntDog6.jpg,"(1280, 720)",0.1194944381713867,1.7777777777777777,"Siberian Husky, Alaskan Malamute, Alaskan Klee Kai",174,17,191,111,138,249
@KeyushTheStuntDog7.jpg,"(400, 174)",0.013427734375,2.2988505747126435,"Siberian Husky, Alaskan Malamute, Mixed Breed",187,14,201,111,151,262
@KeyushTheStuntDog9.jpg,"(400, 400)",0.0291614532470703,1.0,Error,98,1,99,111,62,173
@Theladyshortcake0.jpg,"(259, 194)",0.009657859802246,1.3350515463917525,Error,48,1,49,111,12,123
@Theladyshortcake1.jpg,"(1200, 630)",0.0764751434326171,1.9047619047619049,"American Pit Bull Terrier, Staffordshire Bull Terrier, American Staffordshire Terrier",145,17,162,111,109,220
@Theladyshortcake10.jpg,"(168, 300)",0.009831428527832,0.56,"American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, Pomeranian, German Spitz",208,25,233,111,172,283
@Theladyshortcake11.jpg,"(201, 251)",0.0106611251831054,0.8007968127490039,Error,49,1,50,111,13,124
@Theladyshortcake12.jpg,"(290, 174)",0.0140600204467773,1.6666666666666667,"American Bully, American Pit Bull Terrier, Staffordshire Bull Terrier",216,15,231,111,180,291
@Theladyshortcake13.jpg,"(736, 736)",0.0636529922485351,1.0,"American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier",182,17,199,111,146,257
@Theladyshortcake2.jpg,"(1109, 623)",0.0743036270141601,1.7800963081861958,"American Bulldog, American Pit Bull Terrier, Staffordshire Bull Terrier",212,15,227,111,176,287
@Theladyshortcake3.jpg,"(1500, 1000)",0.1229209899902343,1.5,"American Bully, Staffordshire Bull Terrier, American Pit Bull Terrier",253,15,268,111,217,328
