Username,File Name,Breeds,T Tokens Prompt,T Tokens Completition,T Tokens Total,V Tokens Prompt,V Tokens Completition,V Tokens Total
@Chompersthecorgi,"['@Chompersthecorgi1.jpg', '@Chompersthecorgi10.jpg', '@Chompersthecorgi11.jpg', '@Chompersthecorgi12.jpg', '@Chompersthecorgi13.jpg', '@Chompersthecorgi2.jpg', '@Chompersthecorgi3.jpg', '@Chompersthecorgi4.jpg', '@Chompersthecorgi5.jpg', '@Chompersthecorgi6.jpg', '@Chompersthecorgi7.jpg', '@Chompersthecorgi9.jpg']","Pembroke Welsh Corgi, Cardigan Welsh Corgi, Swedish Vallhund",190.0,19.0,209.0,1046,154,1200
@KeyushTheStuntDog,"['@KeyushTheStuntDog0.jpg', '@KeyushTheStuntDog1.jpg', '@KeyushTheStuntDog10.jpg', '@KeyushTheStuntDog2.jpg', '@KeyushTheStuntDog3.jpg', '@KeyushTheStuntDog4.jpg', '@KeyushTheStuntDog6.jpg', '@KeyushTheStuntDog7.jpg', '@KeyushTheStuntDog9.jpg']","Siberian Husky, Alaskan Malamute, Alaskan Husky",260.0,16.0,276.0,791,224,1015
@Theladyshortcake,"['@Theladyshortcake0.jpg', '@Theladyshortcake1.jpg', '@Theladyshortcake10.jpg', '@Theladyshortcake11.jpg', '@Theladyshortcake12.jpg', '@Theladyshortcake13.jpg', '@Theladyshortcake2.jpg', '@Theladyshortcake3.jpg', '@Theladyshortcake4.jpg', '@Theladyshortcake5.jpg', '@Theladyshortcake6.jpg', '@Theladyshortcake7.jpg', '@Theladyshortcake8.jpg', '@Theladyshortcake9.jpg']","American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier",181.0,17.0,198.0,1216,145,1361
@_gsdbear,"['@_gsdbear1.jpg', '@_gsdbear10.jpg', '@_gsdbear11.jpg', '@_gsdbear2.jpg', '@_gsdbear3.jpg', '@_gsdbear4.jpg', '@_gsdbear5.jpg', '@_gsdbear6.jpg', '@_gsdbear7.jpg', '@_gsdbear8.jpg', '@_gsdbear9.jpg']","German Shepherd, Belgian Malinois, Dutch Shepherd",250.0,9.0,259.0,961,214,1175
@aspenthemountainpup,"['@aspenthemountainpup0.jpg', '@aspenthemountainpup10.jpg', '@aspenthemountainpup11.jpg', '@aspenthemountainpup2.jpg', '@aspenthemountainpup3.jpg', '@aspenthemountainpup5.jpg', '@aspenthemountainpup6.jpg', '@aspenthemountainpup7.jpg', '@aspenthemountainpup8.jpg', '@aspenthemountainpup9.jpg']","Golden Retriever, Labrador Retriever, Nova Scotia Duck Tolling Retriever",161.0,18.0,179.0,876,125,1001
@balooitsme,"['@balooitsme0.jpg', '@balooitsme1.jpg', '@balooitsme10.jpg', '@balooitsme11.jpg', '@balooitsme2.jpg', '@balooitsme3.jpg', '@balooitsme6.jpg', '@balooitsme7.jpg', '@balooitsme9.jpg']","Poodle, Toy Poodle, Miniature Poodle, Poodle Mix, Cockapoo, Maltipoo",285.0,24.0,309.0,791,249,1040
@barkleysircharles,"['@barkleysircharles0.jpg', '@barkleysircharles1.jpg', '@barkleysircharles10.jpg', '@barkleysircharles11.jpg', '@barkleysircharles2.jpg', '@barkleysircharles3.jpg', '@barkleysircharles4.jpg', '@barkleysircharles5.jpg', '@barkleysircharles6.jpg', '@barkleysircharles7.jpg', '@barkleysircharles8.jpg', '@barkleysircharles9.jpg']",French Bulldogs,98.0,2.0,100.0,1046,62,1108
@bluestaffyboulder,"['@bluestaffyboulder0.jpg', '@bluestaffyboulder1.jpg', '@bluestaffyboulder10.jpg', '@bluestaffyboulder11.jpg', '@bluestaffyboulder12.jpg', '@bluestaffyboulder2.jpg', '@bluestaffyboulder3.jpg', '@bluestaffyboulder4.jpg', '@bluestaffyboulder5.jpg', '@bluestaffyboulder6.jpg', '@bluestaffyboulder7.jpg', '@bluestaffyboulder8.jpg', '@bluestaffyboulder9.jpg']","Staffordshire Bull Terrier, American Staffordshire Terrier",166.0,12.0,178.0,1131,130,1261
@carterchowchow,"['@carterchowchow0.jpg', '@carterchowchow1.jpg', '@carterchowchow10.jpg', '@carterchowchow11.jpg', '@carterchowchow2.jpg', '@carterchowchow3.jpg', '@carterchowchow4.jpg', '@carterchowchow5.jpg', '@carterchowchow6.jpg', '@carterchowchow7.jpg', '@carterchowchow8.jpg', '@carterchowchow9.jpg']",Chow Chow,183.0,3.0,186.0,1046,147,1193
@crusoe_dachshund,"['@crusoe_dachshund0.jpg', '@crusoe_dachshund1.jpg', '@crusoe_dachshund11.jpg', '@crusoe_dachshund2.jpg', '@crusoe_dachshund3.jpg', '@crusoe_dachshund4.jpg', '@crusoe_dachshund5.jpg', '@crusoe_dachshund6.jpg', '@crusoe_dachshund7.jpg', '@crusoe_dachshund8.jpg', '@crusoe_dachshund9.jpg']",Dachshund,187.0,4.0,191.0,961,151,1112
